escenario,descripcion,num_usuarios,num_splitters,cobertura_pct,fibra_total_m,costo_total,perdida_promedio_db,perdida_maxima_db,latencia_promedio_us,iteraciones,costo_por_usuario,fibra_por_usuario,usuarios_por_splitter,eficiencia_cobertura,margen_power_budget
urbana,Zona urbana densa - Centro Valparaíso,100,7,96.0,6805.78209222557,8205.78209222557,18.59509300418518,18.76452152841633,1.3687798896537613,5,82.0578209222557,68.0578209222557,14.285714285714286,0.96,11.235478471583669
semi_urbana,Zona semi-urbana - Viña del Mar,60,4,93.33333333333331,13310.796340611978,14110.796340611978,18.7777895123588,19.03195783272721,3.9985349220116624,5,235.17993901019963,221.8466056768663,15.0,0.9333333333333331,10.968042167272792
rural,Zona rural - Quilpué,30,1,100.0,15831.491249202669,16031.491249202669,18.897070257248533,19.307407095093808,5.715475996983269,0,534.383041640089,527.7163749734223,30.0,1.0,10.692592904906192
