escenario,descripcion,num_usuarios,num_splitters,cobertura_pct,fibra_total_m,costo_total,perdida_promedio_db,perdida_maxima_db,latencia_promedio_us,iteraciones
urbana,Zona urbana densa - Centro Valparaíso,100,8,94.0,7343.621339133558,8943.621339133559,18.62604583359745,18.831321688661994,1.3708184658353946,5
semi_urbana,Zona semi-urbana - Viña del Mar,60,3,95.0,13766.563452584132,14366.563452584132,19.06383796371844,19.83055791030971,6.132051098751244,5
rural,Zona rural - Quilpué,30,1,100.0,17793.009886301217,17993.009886301217,19.025982459147208,19.516569800026556,5.720351455703192,0
